,Index,P-Value,RSquared
104,ingest,0.4294386405640146,-0.12075509685869126
105,drives,0.6242386826788272,-0.07503112528288625
106,affiliation,0.1112931819183232,0.24065063110443763
107,achieve,0.09970822608805129,-0.24853752035967347
108,power,0.16516609766659507,-0.21049346154343998
109,reward,0.06218010085022851,0.2803045793936232
110,risk,0.050562587075263656,-0.2932686520904878
111,focuspast,0.00783014856799632,0.39148197467326773
112,focuspresent,0.36947515999122604,-0.13700799296378863
113,focusfuture,0.012358445711439285,-0.370008770730044
114,relativ,0.037829233922894195,-0.31061342747857174
115,motion,0.6497657251518314,-0.06956690499650933
116,space,0.10716125846387078,-0.24338824270527912
117,time,0.0821543021543765,-0.2619585042578637
118,work,0.009283940692827751,-0.3836289883713793
119,leisure,0.06867480109572312,0.273883767488306
120,home,0.04440620920421421,-0.30114609042934715
121,money,0.31729594302521313,-0.15249267871511876
122,relig,0.6500790799876306,0.06950037204572534
123,death,0.5857576757355536,0.08344924743601002
124,informal,0.029221816956913945,0.32530310518181926
125,swear,0.7249807103203647,-0.05392399488981621
126,netspeak,0.774653089848005,0.0438927442858586
127,assent,0.5011371902469423,0.10290956066872926
128,nonflu,0.016757031933262476,0.3548723817006543
129,filler,0.3533516068602709,-0.14164068595803767
130,AllPunc,0.5779957153967763,0.08517642947303172
131,Period,0.1675437232342331,0.20934208851389471
132,Comma,0.6731503264741197,-0.0646354802101739
133,Colon,0.016617755981527458,0.3552966176110214
134,SemiC,0.59285328093934,0.08187928990773766
135,QMark,0.900228942056741,0.019228762122971286
136,Exclam,0.16540002035979948,0.2103796524426591
137,Dash,0.11152221941084545,-0.24050116289557913
138,Quote,0.22181051204152796,0.185761606042646
139,Apostro,0.8067558901542897,0.037507437138281405
140,Parenth,1.0,
141,OtherP,0.6401299591599192,-0.0716190936441977
142,Nouns,3.750782103768692e-05,-0.5739810622480721
143,Nouns/100,3.750782103768665e-05,-0.5739810622480722
144,NounsNormalised,1.6360452677735534e-07,-0.689356181785722
145,Adjectives,0.0005503605854345621,-0.49477000676119676
146,Adjectives/100,0.0005503605854345621,-0.49477000676119676
147,AdjectivesNormalised,0.01800654931808608,-0.35119416842882284
148,Adverbs,0.6010666114112357,-0.08007235812841826
149,Adverbs/100,0.6010666114112357,-0.08007235812841822
150,AdverbsNormalised,0.016295375016969114,0.35629026706171457
151,Verbs,0.06685971631499196,-0.2756278264730083
152,Verbs/100,0.06685971631499196,-0.2756278264730084
153,VerbsNormalised,0.03326805376855181,0.318007034686529
154,Pronouns,0.613257101467341,0.07741011381693337
155,PronounsNormalised,3.3292868634024024e-06,0.6312749149175617
156,UniqueWordsNormalised,0.25691519531606394,-0.17258857808519823
