,Index,P-Value,RSquared
49,Segment,1.0,
50,WC,0.015172777382960315,-0.21097221219640833
51,Analytic,0.8749984325968477,-0.013823131773387507
52,Clout,0.0004391494257934057,0.3016818752405074
53,Authentic,0.3523446094473379,-0.0815915250922617
54,Tone,0.08300287691969153,0.151452596986216
55,WPS,0.003978377135137953,-0.24906685034568654
56,Sixltr,0.37762224440858894,-0.07741410320376206
57,Dic,0.023700746311834203,0.19681923394240258
58,function,0.0523134082627943,-0.16929176708784138
59,pronoun,0.1435018986103696,0.12801991242347588
60,ppron,0.9287951246328813,0.007852431553777833
61,i,0.03711797142347014,-0.18164479565757566
62,we,0.0005860099066727602,0.2953451766068711
63,you,0.620340353078001,-0.04350965535769321
64,shehe,0.9482127908231356,-0.005707523070269459
65,they,0.49676929213435617,-0.059664761419823284
66,ipron,0.025683633906341482,0.19417510965879162
67,article,0.7757399792846232,0.02502935267845897
68,prep,0.28119469520236234,-0.09448512416159273
69,auxverb,0.05266805247218806,0.16904131014222074
70,adverb,0.5223065296105251,0.05617723334505265
71,conj,5.072091656849031e-08,-0.4526174973136651
72,negate,0.03057427239029676,-0.18833109359243247
73,verb,0.023091749600528576,0.1976693849651053
74,adj,0.015238106989524053,0.21083986135791719
75,compare,0.47181942798301535,0.06316453692200456
76,interrog,0.9902109817356683,0.0010781354937709482
77,number,0.034043451617469876,0.18465050642205497
78,quant,0.1617065937729427,0.12250410179427197
79,affect,0.2030540357211778,0.11150630106312735
80,posemo,0.03676733469915112,0.18197674440930503
81,negemo,0.3972347732999877,-0.07428916216410263
82,anx,0.21202513267647094,-0.1093398164944326
83,anger,0.5104650846488971,-0.057783143253774746
84,sad,0.003269948632830795,0.25419338031785
85,social,0.01876971778154933,0.20432809199182284
86,family,0.1809306606806052,0.11716168228336099
87,friend,0.14656014540266887,0.12705779854756788
88,female,0.6594183034143335,-0.03871326560613306
89,male,0.7766235227814846,0.024928078432841456
90,cogproc,0.014905909084008259,-0.21151806399443174
91,insight,0.23919484865788235,-0.10315241423194253
92,cause,0.028984635976633418,-0.19013732163418906
93,discrep,0.01084070186947815,-0.2211080532818144
94,tentat,0.6228029971216479,0.0432037245321709
95,certain,0.1213831493587836,0.13548881019261877
96,differ,0.011777498170549683,-0.21864858066969675
97,percept,0.09890992019368061,-0.14424789655837397
98,see,0.09298101810250461,-0.14681760057431345
99,hear,0.3084847952369407,0.08931309757867176
100,feel,0.03652066681996997,-0.1822118661232784
101,bio,0.794418105735466,0.022895174634304283
102,body,0.36821088962318527,0.07894868287376548
103,health,0.3749933672925806,-0.07784038024318964
104,sexual,0.5451748628992141,-0.05312712706135153
105,ingest,0.8303262779065382,0.018828379568559102
106,drives,0.00047813405409612196,0.29982864710290724
107,affiliation,0.013579753949612031,0.21436392679409388
108,achieve,5.188962203528333e-05,0.3446644201890555
109,power,0.22526813523094646,0.10625816192517268
110,reward,0.0015577493292784144,0.2727198051367767
111,risk,0.2473204513689656,-0.10139833566656224
112,focuspast,0.8686951855542233,-0.01452632400409216
113,focuspresent,0.11253682172931442,0.1387720501200654
114,focusfuture,0.009072339905085883,0.22630979322010583
115,relativ,0.3517723480903707,0.08168821753775084
116,motion,0.7149997208470772,0.03207912426339543
117,space,0.40172846204906254,-0.0735862645052261
118,time,0.041551205103688746,0.1776600842114085
119,work,0.001558173841826187,0.2727132293449714
120,leisure,0.22864121276418667,0.10549383124548412
121,home,0.000631393246226564,0.2936830822427614
122,money,0.007333878209870265,0.23238280040642978
123,relig,0.09802606579748233,0.14462311373472117
124,death,0.5511742970689767,-0.05233748305161443
125,informal,0.5799045174894535,0.048611958162400604
126,swear,0.4022404009141145,-0.07350648453399627
127,netspeak,0.7000484924018789,0.03384443629819114
128,assent,0.7874781209570572,-0.023686518221720416
129,nonflu,0.5878891052351025,0.04759204324078709
130,filler,0.8117700479526322,-0.02092445055694927
131,AllPunc,0.8576519380992149,0.015760560598963476
