,Filename,TTR,WordCount,UniqueWords,MLU,Fillers,NSNouns,LIVerbs,$,'',",",.,:,CC,CD,DT,EX,IN,JJ,JJR,JJS,MD,NN,NNP,NNPS,NNS,PDT,POS,PRP,PRP$,RB,RBR,RBS,RP,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WRB,``,SYM,FW,WP$,Segment_x,WC_x,Analytic_x,Clout_x,Authentic_x,Tone_x,WPS_x,Sixltr_x,Dic_x,function_x,pronoun_x,ppron_x,i_x,we_x,you_x,shehe_x,they_x,ipron_x,article_x,prep_x,auxverb_x,adverb_x,conj_x,negate_x,verb_x,adj_x,compare_x,interrog_x,number_x,quant_x,affect_x,posemo_x,negemo_x,anx_x,anger_x,sad_x,social_x,family_x,friend_x,female_x,male_x,cogproc_x,insight_x,cause_x,discrep_x,tentat_x,certain_x,differ_x,percept_x,see_x,hear_x,feel_x,bio_x,body_x,health_x,sexual_x,ingest_x,drives_x,affiliation_x,achieve_x,power_x,reward_x,risk_x,focuspast_x,focuspresent_x,focusfuture_x,relativ_x,motion_x,space_x,time_x,work_x,leisure_x,home_x,money_x,relig_x,death_x,informal_x,swear_x,netspeak_x,assent_x,nonflu_x,filler_x,AllPunc_x,Period_x,Comma_x,Colon_x,SemiC_x,QMark_x,Exclam_x,Dash_x,Quote_x,Apostro_x,Parenth_x,OtherP_x,Segment_y,WC_y,Analytic_y,Clout_y,Authentic_y,Tone_y,WPS_y,Sixltr_y,Dic_y,function_y,pronoun_y,ppron_y,i_y,we_y,you_y,shehe_y,they_y,ipron_y,article_y,prep_y,auxverb_y,adverb_y,conj_y,negate_y,verb_y,adj_y,compare_y,interrog_y,number_y,quant_y,affect_y,posemo_y,negemo_y,anx_y,anger_y,sad_y,social_y,family_y,friend_y,female_y,male_y,cogproc_y,insight_y,cause_y,discrep_y,tentat_y,certain_y,differ_y,percept_y,see_y,hear_y,feel_y,bio_y,body_y,health_y,sexual_y,ingest_y,drives_y,affiliation_y,achieve_y,power_y,reward_y,risk_y,focuspast_y,focuspresent_y,focusfuture_y,relativ_y,motion_y,space_y,time_y,work_y,leisure_y,home_y,money_y,relig_y,death_y,informal_y,swear_y,netspeak_y,assent_y,nonflu_y,filler_y,AllPunc_y,Period_y,Comma_y,Colon_y,SemiC_y,QMark_y,Exclam_y,Dash_y,Quote_y,Apostro_y,Parenth_y,OtherP_y
86,Bush - Speech123 - Edited.txt,0.292630676949443,2334.0,683.0,17.86986301369863,4.0,5.0,83.0,1.0,1.0,126.0,146.0,20.0,97.0,20.0,251.0,6.0,244.0,149.0,2.0,1.0,62.0,252.0,69.0,6.0,77.0,2.0,0.0,240.0,16.0,170.0,1.0,2.0,15.0,78.0,1.0,150.0,72.0,51.0,45.0,101.0,82.0,14.0,19.0,19.0,1.0,0.0,0.0,0.0,1,2223,41.21,50.72,67.66,42.07,15.12,16.51,90.19,59.65,17.81,9.54,4.81,2.43,0.76,1.08,0.45,8.28,7.11,13.86,12.1,5.13,7.02,2.97,21.64,3.87,2.11,1.98,1.35,2.29,4.41,2.52,1.62,0.22,0.27,0.31,9.4,0.18,0.04,0.09,1.12,14.17,3.28,1.12,1.89,3.55,1.39,4.63,2.47,0.9,1.12,0.4,0.31,0.27,0.04,0.0,0.0,10.08,3.24,2.07,3.42,2.02,0.67,4.59,13.68,2.29,13.99,3.01,8.1,3.33,2.61,0.18,0.31,0.36,0.36,0.13,0.36,0.0,0.09,0.13,0.18,0.0,17.81,6.66,5.71,0.09,0.54,0.09,0.0,0.4,0.09,4.09,0.0,0.13,1,2223,41.21,50.72,67.66,42.07,15.12,16.51,90.19,59.65,17.81,9.54,4.81,2.43,0.76,1.08,0.45,8.28,7.11,13.86,12.1,5.13,7.02,2.97,21.64,3.87,2.11,1.98,1.35,2.29,4.41,2.52,1.62,0.22,0.27,0.31,9.4,0.18,0.04,0.09,1.12,14.17,3.28,1.12,1.89,3.55,1.39,4.63,2.47,0.9,1.12,0.4,0.31,0.27,0.04,0.0,0.0,10.08,3.24,2.07,3.42,2.02,0.67,4.59,13.68,2.29,13.99,3.01,8.1,3.33,2.61,0.18,0.31,0.36,0.36,0.13,0.36,0.0,0.09,0.13,0.18,0.0,17.81,6.66,5.71,0.09,0.54,0.09,0.0,0.4,0.09,4.09,0.0,0.13
87,Bush - Speech5 - Edited.txt,0.23889063977308542,3173.0,758.0,18.892473118279568,13.0,11.0,132.0,0.0,3.0,154.0,186.0,28.0,171.0,10.0,354.0,25.0,353.0,164.0,5.0,2.0,68.0,336.0,102.0,13.0,104.0,0.0,6.0,318.0,39.0,243.0,6.0,1.0,16.0,97.0,1.0,177.0,55.0,54.0,69.0,193.0,97.0,27.0,19.0,15.0,3.0,0.0,0.0,0.0,1,3013,30.87,50.0,73.64,69.56,16.2,15.93,90.28,61.96,19.08,10.49,5.61,2.46,0.9,0.6,0.93,8.6,6.67,13.38,11.92,6.17,8.0,2.82,20.94,3.78,1.86,1.46,0.43,2.39,5.14,3.58,1.26,0.23,0.43,0.07,9.59,0.0,0.2,0.03,0.56,15.3,3.75,1.59,2.06,2.75,2.19,4.51,2.12,0.8,0.46,0.53,0.33,0.03,0.13,0.0,0.13,8.46,3.62,0.86,2.52,1.36,0.56,4.08,14.14,1.69,13.57,2.46,8.3,3.39,1.59,0.2,0.13,0.46,0.03,0.17,0.5,0.0,0.0,0.1,0.4,0.0,17.26,6.21,5.11,0.07,0.27,0.17,0.03,0.86,0.2,4.35,0.0,0.0,1,3013,30.87,50.0,73.64,69.56,16.2,15.93,90.28,61.96,19.08,10.49,5.61,2.46,0.9,0.6,0.93,8.6,6.67,13.38,11.92,6.17,8.0,2.82,20.94,3.78,1.86,1.46,0.43,2.39,5.14,3.58,1.26,0.23,0.43,0.07,9.59,0.0,0.2,0.03,0.56,15.3,3.75,1.59,2.06,2.75,2.19,4.51,2.12,0.8,0.46,0.53,0.33,0.03,0.13,0.0,0.13,8.46,3.62,0.86,2.52,1.36,0.56,4.08,14.14,1.69,13.57,2.46,8.3,3.39,1.59,0.2,0.13,0.46,0.03,0.17,0.5,0.0,0.0,0.1,0.4,0.0,17.26,6.21,5.11,0.07,0.27,0.17,0.03,0.86,0.2,4.35,0.0,0.0
88,Bush - Speech113 - Edited.txt,0.39265850945494996,899.0,353.0,18.77358490566038,2.0,2.0,27.0,0.0,0.0,43.0,53.0,4.0,34.0,7.0,89.0,3.0,116.0,58.0,6.0,0.0,19.0,86.0,48.0,3.0,38.0,2.0,1.0,104.0,9.0,54.0,1.0,0.0,1.0,27.0,0.0,44.0,36.0,17.0,15.0,32.0,32.0,6.0,2.0,5.0,0.0,0.0,0.0,0.0,1,876,40.83,77.44,27.8,79.78,16.53,18.38,89.84,58.9,19.75,10.96,3.31,2.85,0.23,3.77,0.8,8.79,5.82,13.47,11.19,5.59,5.48,1.48,17.81,3.88,1.71,1.03,0.91,2.97,5.02,4.0,1.03,0.23,0.23,0.11,12.44,0.0,0.23,0.0,3.88,11.19,2.85,0.68,1.6,2.05,1.6,3.2,2.17,0.34,1.03,0.68,1.03,0.34,0.11,0.0,0.57,8.56,4.11,1.03,2.28,1.26,0.46,4.11,11.99,1.37,13.47,1.83,8.79,3.08,3.31,0.0,0.34,1.03,0.0,0.0,0.34,0.0,0.0,0.11,0.23,0.0,14.16,6.28,4.91,0.0,0.23,0.11,0.0,0.46,0.0,2.17,0.0,0.0,1,876,40.83,77.44,27.8,79.78,16.53,18.38,89.84,58.9,19.75,10.96,3.31,2.85,0.23,3.77,0.8,8.79,5.82,13.47,11.19,5.59,5.48,1.48,17.81,3.88,1.71,1.03,0.91,2.97,5.02,4.0,1.03,0.23,0.23,0.11,12.44,0.0,0.23,0.0,3.88,11.19,2.85,0.68,1.6,2.05,1.6,3.2,2.17,0.34,1.03,0.68,1.03,0.34,0.11,0.0,0.57,8.56,4.11,1.03,2.28,1.26,0.46,4.11,11.99,1.37,13.47,1.83,8.79,3.08,3.31,0.0,0.34,1.03,0.0,0.0,0.34,0.0,0.0,0.11,0.23,0.0,14.16,6.28,4.91,0.0,0.23,0.11,0.0,0.46,0.0,2.17,0.0,0.0
89,Bush - Speech58 - Edited.txt,0.2686993806574559,2099.0,564.0,20.460176991150444,1.0,3.0,59.0,0.0,0.0,99.0,113.0,22.0,91.0,9.0,234.0,13.0,256.0,129.0,4.0,4.0,53.0,197.0,135.0,21.0,67.0,1.0,1.0,194.0,26.0,130.0,1.0,2.0,4.0,72.0,0.0,124.0,40.0,32.0,44.0,96.0,69.0,9.0,7.0,10.0,1.0,0.0,2.0,0.0,1,2045,47.13,59.27,47.57,77.88,18.1,19.27,88.9,60.24,18.14,9.0,3.91,2.49,0.49,1.37,0.73,9.14,7.38,13.55,11.15,4.94,6.8,1.86,17.46,3.72,2.25,0.88,0.49,1.81,4.45,3.62,0.78,0.1,0.15,0.2,9.34,0.0,0.39,0.0,1.37,15.55,4.79,1.27,2.35,3.08,1.96,4.21,2.44,1.08,0.93,0.44,0.78,0.44,0.1,0.05,0.24,8.75,3.57,1.66,2.4,1.08,0.64,2.89,12.08,1.91,11.44,0.73,8.41,2.4,2.05,0.15,0.05,0.39,0.05,0.0,0.59,0.0,0.0,0.44,0.15,0.0,13.3,5.53,4.84,0.05,0.1,0.2,0.0,0.98,0.0,1.56,0.0,0.05,1,2045,47.13,59.27,47.57,77.88,18.1,19.27,88.9,60.24,18.14,9.0,3.91,2.49,0.49,1.37,0.73,9.14,7.38,13.55,11.15,4.94,6.8,1.86,17.46,3.72,2.25,0.88,0.49,1.81,4.45,3.62,0.78,0.1,0.15,0.2,9.34,0.0,0.39,0.0,1.37,15.55,4.79,1.27,2.35,3.08,1.96,4.21,2.44,1.08,0.93,0.44,0.78,0.44,0.1,0.05,0.24,8.75,3.57,1.66,2.4,1.08,0.64,2.89,12.08,1.91,11.44,0.73,8.41,2.4,2.05,0.15,0.05,0.39,0.05,0.0,0.59,0.0,0.0,0.44,0.15,0.0,13.3,5.53,4.84,0.05,0.1,0.2,0.0,0.98,0.0,1.56,0.0,0.05
90,Bush - Speech51 - Edited.txt,0.22985781990521326,3376.0,776.0,20.585635359116022,8.0,6.0,116.0,1.0,0.0,164.0,181.0,32.0,128.0,15.0,352.0,12.0,421.0,153.0,3.0,0.0,82.0,328.0,212.0,17.0,154.0,2.0,5.0,328.0,40.0,236.0,6.0,2.0,13.0,115.0,1.0,176.0,50.0,52.0,89.0,201.0,94.0,24.0,21.0,13.0,0.0,0.0,3.0,0.0,1,3233,54.0,60.38,45.3,53.69,17.86,16.46,87.81,59.11,17.41,9.99,4.45,2.1,0.77,1.14,1.52,7.42,7.49,15.03,10.89,4.95,6.77,2.04,19.67,3.4,2.01,1.21,0.68,1.89,4.83,3.15,1.67,0.59,0.65,0.12,9.74,0.0,0.12,0.0,1.27,14.51,3.46,2.23,2.47,2.81,1.45,3.5,2.85,1.48,0.9,0.4,0.71,0.43,0.19,0.0,0.09,8.66,3.31,1.21,2.88,1.45,0.9,3.43,13.61,1.73,12.5,2.72,7.95,2.88,1.58,0.12,0.09,0.49,0.06,0.15,0.65,0.0,0.0,0.25,0.37,0.03,16.21,6.03,5.07,0.15,0.06,0.19,0.0,0.96,0.0,3.4,0.0,0.34,1,3233,54.0,60.38,45.3,53.69,17.86,16.46,87.81,59.11,17.41,9.99,4.45,2.1,0.77,1.14,1.52,7.42,7.49,15.03,10.89,4.95,6.77,2.04,19.67,3.4,2.01,1.21,0.68,1.89,4.83,3.15,1.67,0.59,0.65,0.12,9.74,0.0,0.12,0.0,1.27,14.51,3.46,2.23,2.47,2.81,1.45,3.5,2.85,1.48,0.9,0.4,0.71,0.43,0.19,0.0,0.09,8.66,3.31,1.21,2.88,1.45,0.9,3.43,13.61,1.73,12.5,2.72,7.95,2.88,1.58,0.12,0.09,0.49,0.06,0.15,0.65,0.0,0.0,0.25,0.37,0.03,16.21,6.03,5.07,0.15,0.06,0.19,0.0,0.96,0.0,3.4,0.0,0.34
91,Bush - Speech81 - Edited.txt,0.19952169456781688,5854.0,1168.0,19.1453488372093,19.0,14.0,212.0,0.0,9.0,379.0,344.0,25.0,290.0,40.0,556.0,27.0,659.0,303.0,17.0,14.0,134.0,580.0,233.0,10.0,176.0,4.0,14.0,658.0,78.0,423.0,6.0,2.0,34.0,197.0,16.0,363.0,172.0,104.0,110.0,310.0,184.0,35.0,45.0,25.0,8.0,0.0,2.0,0.0,1,5589,31.82,53.44,54.2,72.65,16.25,14.4,91.09,61.32,20.47,11.47,5.55,2.18,1.13,2.13,0.48,9.0,6.26,13.74,11.33,5.14,7.93,2.72,20.72,3.58,2.16,1.49,1.09,2.34,5.05,3.7,1.2,0.11,0.45,0.14,10.63,0.25,0.07,0.18,2.31,14.9,3.54,1.2,2.2,3.36,1.56,4.76,2.5,1.25,0.79,0.36,0.55,0.21,0.16,0.04,0.14,8.95,2.95,1.31,3.33,1.9,0.5,4.51,13.85,1.86,12.11,2.0,7.51,3.01,2.11,0.38,0.36,0.52,0.09,0.05,0.89,0.05,0.0,0.3,0.47,0.02,19.13,6.1,6.78,0.16,0.29,0.25,0.0,0.45,0.29,4.78,0.0,0.04,1,5589,31.82,53.44,54.2,72.65,16.25,14.4,91.09,61.32,20.47,11.47,5.55,2.18,1.13,2.13,0.48,9.0,6.26,13.74,11.33,5.14,7.93,2.72,20.72,3.58,2.16,1.49,1.09,2.34,5.05,3.7,1.2,0.11,0.45,0.14,10.63,0.25,0.07,0.18,2.31,14.9,3.54,1.2,2.2,3.36,1.56,4.76,2.5,1.25,0.79,0.36,0.55,0.21,0.16,0.04,0.14,8.95,2.95,1.31,3.33,1.9,0.5,4.51,13.85,1.86,12.11,2.0,7.51,3.01,2.11,0.38,0.36,0.52,0.09,0.05,0.89,0.05,0.0,0.3,0.47,0.02,19.13,6.1,6.78,0.16,0.29,0.25,0.0,0.45,0.29,4.78,0.0,0.04
92,Bush - Speech126 - Edited.txt,0.2287454998615342,3611.0,826.0,17.897777777777776,9.0,13.0,169.0,0.0,4.0,188.0,225.0,14.0,168.0,20.0,370.0,23.0,393.0,202.0,3.0,2.0,89.0,328.0,150.0,15.0,137.0,5.0,10.0,378.0,34.0,239.0,4.0,3.0,19.0,128.0,9.0,231.0,55.0,83.0,80.0,220.0,116.0,23.0,30.0,25.0,4.0,0.0,0.0,0.0,1,3429,36.18,55.33,66.89,66.61,15.24,15.66,89.94,61.42,18.26,9.77,4.29,3.27,0.64,0.55,1.02,8.49,6.88,14.03,12.6,5.83,7.38,2.74,21.9,3.76,2.16,1.72,0.9,2.36,4.23,3.15,0.99,0.06,0.23,0.15,9.74,0.0,0.15,0.0,0.61,15.25,3.27,1.4,1.98,3.62,1.46,5.25,1.6,0.76,0.58,0.2,0.15,0.06,0.06,0.0,0.06,9.48,3.76,1.63,2.71,1.55,0.76,3.62,14.61,2.22,13.36,2.36,8.17,3.15,2.25,0.06,0.09,0.41,0.15,0.0,0.7,0.03,0.0,0.32,0.35,0.0,18.17,6.65,5.48,0.15,0.17,0.17,0.0,0.32,0.23,4.99,0.0,0.0,1,3429,36.18,55.33,66.89,66.61,15.24,15.66,89.94,61.42,18.26,9.77,4.29,3.27,0.64,0.55,1.02,8.49,6.88,14.03,12.6,5.83,7.38,2.74,21.9,3.76,2.16,1.72,0.9,2.36,4.23,3.15,0.99,0.06,0.23,0.15,9.74,0.0,0.15,0.0,0.61,15.25,3.27,1.4,1.98,3.62,1.46,5.25,1.6,0.76,0.58,0.2,0.15,0.06,0.06,0.0,0.06,9.48,3.76,1.63,2.71,1.55,0.76,3.62,14.61,2.22,13.36,2.36,8.17,3.15,2.25,0.06,0.09,0.41,0.15,0.0,0.7,0.03,0.0,0.32,0.35,0.0,18.17,6.65,5.48,0.15,0.17,0.17,0.0,0.32,0.23,4.99,0.0,0.0
93,Bush - Speech2 - Edited.txt,0.27982326951399117,2037.0,570.0,19.87719298245614,14.0,5.0,102.0,0.0,0.0,112.0,114.0,18.0,92.0,10.0,223.0,12.0,217.0,97.0,3.0,6.0,58.0,196.0,69.0,2.0,76.0,2.0,2.0,177.0,17.0,162.0,3.0,1.0,11.0,97.0,3.0,160.0,39.0,35.0,57.0,109.0,49.0,6.0,19.0,12.0,0.0,0.0,0.0,0.0,1,1938,33.31,45.08,57.18,56.98,17.0,16.77,90.76,61.82,17.44,8.98,4.95,1.81,0.98,0.41,0.83,8.46,6.04,14.71,12.75,6.09,8.41,3.04,22.19,3.82,2.22,1.75,0.67,2.63,3.66,2.58,0.93,0.05,0.15,0.1,8.26,0.1,0.0,0.0,0.52,16.87,4.02,1.55,2.79,3.97,2.43,4.23,2.94,1.19,0.93,0.36,0.41,0.21,0.15,0.05,0.05,7.95,2.32,1.5,2.22,1.6,0.72,4.02,15.48,2.37,12.07,2.37,6.3,3.66,2.53,0.1,0.15,0.41,0.21,0.05,0.31,0.05,0.0,0.15,0.1,0.0,17.03,5.47,5.78,0.21,0.0,0.41,0.05,0.83,0.0,4.28,0.0,0.0,1,1938,33.31,45.08,57.18,56.98,17.0,16.77,90.76,61.82,17.44,8.98,4.95,1.81,0.98,0.41,0.83,8.46,6.04,14.71,12.75,6.09,8.41,3.04,22.19,3.82,2.22,1.75,0.67,2.63,3.66,2.58,0.93,0.05,0.15,0.1,8.26,0.1,0.0,0.0,0.52,16.87,4.02,1.55,2.79,3.97,2.43,4.23,2.94,1.19,0.93,0.36,0.41,0.21,0.15,0.05,0.05,7.95,2.32,1.5,2.22,1.6,0.72,4.02,15.48,2.37,12.07,2.37,6.3,3.66,2.53,0.1,0.15,0.41,0.21,0.05,0.31,0.05,0.0,0.15,0.1,0.0,17.03,5.47,5.78,0.21,0.0,0.41,0.05,0.83,0.0,4.28,0.0,0.0
94,Bush - Speech128 - Edited.txt,0.3910950661853189,831.0,325.0,17.12962962962963,1.0,2.0,40.0,0.0,2.0,40.0,54.0,4.0,36.0,7.0,87.0,2.0,78.0,38.0,1.0,1.0,18.0,78.0,30.0,3.0,24.0,0.0,2.0,97.0,10.0,67.0,0.0,0.0,4.0,39.0,2.0,58.0,22.0,15.0,20.0,44.0,23.0,8.0,6.0,3.0,2.0,0.0,0.0,0.0,1,787,35.77,74.98,51.47,44.37,14.57,15.63,90.85,62.26,20.58,10.93,4.7,4.83,0.76,0.38,0.25,9.66,6.35,14.36,11.82,5.34,6.61,2.41,20.97,3.18,1.4,1.65,1.14,1.65,3.05,2.03,1.02,0.25,0.0,0.13,12.2,0.0,0.0,0.0,0.76,12.07,2.92,1.02,1.4,3.05,0.76,3.94,2.16,0.51,1.27,0.38,0.13,0.13,0.0,0.0,0.0,13.09,5.08,1.52,3.68,1.91,0.89,4.45,14.36,2.54,11.44,1.91,5.84,4.07,3.68,0.51,0.13,0.25,0.0,0.0,0.51,0.0,0.0,0.25,0.25,0.0,17.66,6.48,5.08,0.0,0.25,0.38,0.0,0.38,0.51,4.32,0.0,0.25,1,787,35.77,74.98,51.47,44.37,14.57,15.63,90.85,62.26,20.58,10.93,4.7,4.83,0.76,0.38,0.25,9.66,6.35,14.36,11.82,5.34,6.61,2.41,20.97,3.18,1.4,1.65,1.14,1.65,3.05,2.03,1.02,0.25,0.0,0.13,12.2,0.0,0.0,0.0,0.76,12.07,2.92,1.02,1.4,3.05,0.76,3.94,2.16,0.51,1.27,0.38,0.13,0.13,0.0,0.0,0.0,13.09,5.08,1.52,3.68,1.91,0.89,4.45,14.36,2.54,11.44,1.91,5.84,4.07,3.68,0.51,0.13,0.25,0.0,0.0,0.51,0.0,0.0,0.25,0.25,0.0,17.66,6.48,5.08,0.0,0.25,0.38,0.0,0.38,0.51,4.32,0.0,0.25
95,Bush - Speech14 - Edited.txt,0.2259700176366843,4536.0,1025.0,19.10188679245283,14.0,13.0,192.0,1.0,5.0,252.0,265.0,76.0,222.0,19.0,411.0,15.0,492.0,233.0,6.0,8.0,95.0,435.0,227.0,20.0,162.0,4.0,7.0,454.0,60.0,301.0,5.0,1.0,20.0,174.0,17.0,291.0,76.0,97.0,92.0,291.0,135.0,19.0,53.0,15.0,5.0,0.0,1.0,0.0,1,4290,41.68,49.25,58.76,72.47,16.07,17.51,89.51,59.21,18.11,10.28,6.13,1.89,1.1,0.58,0.58,7.83,6.46,14.08,11.63,4.94,7.44,2.31,21.42,3.59,1.66,1.68,0.63,1.68,4.27,3.31,0.82,0.09,0.26,0.19,9.51,0.07,0.19,0.19,0.54,13.99,3.1,1.14,2.31,3.03,1.68,4.24,2.8,1.45,0.77,0.51,0.28,0.12,0.09,0.02,0.09,8.3,2.98,1.61,2.77,1.68,0.33,3.17,15.34,2.54,11.75,2.54,6.6,3.15,2.56,0.47,0.05,0.75,0.07,0.0,0.79,0.0,0.0,0.49,0.26,0.0,18.74,5.94,5.9,0.21,0.42,0.42,0.0,1.63,0.23,3.82,0.0,0.16,1,4290,41.68,49.25,58.76,72.47,16.07,17.51,89.51,59.21,18.11,10.28,6.13,1.89,1.1,0.58,0.58,7.83,6.46,14.08,11.63,4.94,7.44,2.31,21.42,3.59,1.66,1.68,0.63,1.68,4.27,3.31,0.82,0.09,0.26,0.19,9.51,0.07,0.19,0.19,0.54,13.99,3.1,1.14,2.31,3.03,1.68,4.24,2.8,1.45,0.77,0.51,0.28,0.12,0.09,0.02,0.09,8.3,2.98,1.61,2.77,1.68,0.33,3.17,15.34,2.54,11.75,2.54,6.6,3.15,2.56,0.47,0.05,0.75,0.07,0.0,0.79,0.0,0.0,0.49,0.26,0.0,18.74,5.94,5.9,0.21,0.42,0.42,0.0,1.63,0.23,3.82,0.0,0.16
96,Bush - Speech19 - Edited.txt,0.23147301006404392,4372.0,1012.0,19.647773279352226,22.0,10.0,181.0,1.0,4.0,232.0,247.0,74.0,220.0,22.0,488.0,28.0,496.0,229.0,14.0,8.0,101.0,466.0,184.0,17.0,163.0,0.0,3.0,423.0,49.0,299.0,4.0,3.0,22.0,122.0,7.0,257.0,75.0,69.0,80.0,234.0,139.0,28.0,29.0,12.0,4.0,0.0,0.0,0.0,1,4133,40.71,48.84,58.0,83.73,16.73,16.38,90.83,60.17,18.22,9.56,5.35,1.62,0.82,0.7,1.06,8.66,7.36,13.55,11.61,5.23,7.77,2.32,19.33,4.43,1.96,1.11,0.65,2.27,5.95,4.5,1.23,0.17,0.24,0.17,8.47,0.05,0.48,0.07,0.87,13.91,3.39,1.45,1.72,3.44,1.65,3.53,2.06,1.04,0.46,0.41,0.27,0.02,0.19,0.0,0.05,9.97,2.64,1.91,3.73,1.77,0.92,3.17,14.11,1.67,12.36,2.25,7.89,2.54,2.88,0.39,0.22,0.58,0.15,0.0,0.73,0.0,0.0,0.24,0.48,0.0,18.12,5.86,5.61,0.05,0.29,0.19,0.0,1.79,0.19,4.11,0.0,0.02,1,4133,40.71,48.84,58.0,83.73,16.73,16.38,90.83,60.17,18.22,9.56,5.35,1.62,0.82,0.7,1.06,8.66,7.36,13.55,11.61,5.23,7.77,2.32,19.33,4.43,1.96,1.11,0.65,2.27,5.95,4.5,1.23,0.17,0.24,0.17,8.47,0.05,0.48,0.07,0.87,13.91,3.39,1.45,1.72,3.44,1.65,3.53,2.06,1.04,0.46,0.41,0.27,0.02,0.19,0.0,0.05,9.97,2.64,1.91,3.73,1.77,0.92,3.17,14.11,1.67,12.36,2.25,7.89,2.54,2.88,0.39,0.22,0.58,0.15,0.0,0.73,0.0,0.0,0.24,0.48,0.0,18.12,5.86,5.61,0.05,0.29,0.19,0.0,1.79,0.19,4.11,0.0,0.02
97,Bush - Speech82 - Edited.txt,0.3436426116838488,1164.0,400.0,22.614035087719298,3.0,5.0,41.0,0.0,1.0,68.0,57.0,11.0,52.0,10.0,114.0,2.0,145.0,56.0,3.0,1.0,28.0,116.0,67.0,7.0,45.0,0.0,0.0,115.0,13.0,62.0,1.0,1.0,5.0,41.0,1.0,65.0,17.0,26.0,23.0,77.0,33.0,8.0,9.0,6.0,1.0,1.0,1.0,0.0,1,1113,51.84,62.35,44.81,77.11,19.53,16.44,87.51,58.76,17.88,9.79,4.67,2.88,0.81,0.99,0.45,8.09,7.19,15.09,10.96,4.4,7.64,1.71,20.84,3.68,2.16,1.44,1.17,2.34,3.77,3.23,0.45,0.0,0.09,0.0,8.98,0.0,0.27,0.0,1.17,13.03,3.86,1.8,2.61,2.61,1.44,3.14,1.8,0.99,0.63,0.18,0.27,0.09,0.09,0.0,0.09,10.51,4.13,1.44,3.32,2.25,0.18,3.32,15.09,2.7,12.13,1.89,7.37,3.14,2.88,0.27,0.0,0.18,0.27,0.09,0.45,0.0,0.09,0.09,0.09,0.0,16.62,5.66,6.2,0.0,0.09,0.09,0.0,0.9,0.18,3.5,0.0,0.0,1,1113,51.84,62.35,44.81,77.11,19.53,16.44,87.51,58.76,17.88,9.79,4.67,2.88,0.81,0.99,0.45,8.09,7.19,15.09,10.96,4.4,7.64,1.71,20.84,3.68,2.16,1.44,1.17,2.34,3.77,3.23,0.45,0.0,0.09,0.0,8.98,0.0,0.27,0.0,1.17,13.03,3.86,1.8,2.61,2.61,1.44,3.14,1.8,0.99,0.63,0.18,0.27,0.09,0.09,0.0,0.09,10.51,4.13,1.44,3.32,2.25,0.18,3.32,15.09,2.7,12.13,1.89,7.37,3.14,2.88,0.27,0.0,0.18,0.27,0.09,0.45,0.0,0.09,0.09,0.09,0.0,16.62,5.66,6.2,0.0,0.09,0.09,0.0,0.9,0.18,3.5,0.0,0.0
98,Bush - Speech6 - Edited.txt,0.24114021571648692,3894.0,939.0,18.50423728813559,11.0,15.0,146.0,0.0,8.0,235.0,236.0,78.0,168.0,30.0,391.0,22.0,403.0,191.0,12.0,6.0,84.0,382.0,145.0,8.0,141.0,3.0,11.0,416.0,52.0,291.0,3.0,1.0,37.0,112.0,3.0,199.0,76.0,88.0,92.0,218.0,132.0,31.0,27.0,26.0,8.0,0.0,0.0,1.0,1,3671,39.41,51.42,67.19,44.2,15.56,15.58,89.65,60.17,18.58,10.79,5.75,1.53,1.58,1.33,0.6,7.79,6.67,13.81,11.17,5.99,6.84,2.62,20.48,2.81,1.5,1.66,1.14,2.45,3.98,2.48,1.47,0.3,0.35,0.16,9.4,0.03,0.05,0.0,1.55,13.81,3.35,1.93,1.61,2.94,1.69,3.79,2.34,0.9,1.04,0.35,0.38,0.14,0.11,0.03,0.11,8.72,2.07,1.53,3.7,1.8,0.68,3.43,13.92,2.4,13.73,2.62,7.95,3.92,3.11,0.14,0.22,0.49,0.05,0.08,0.38,0.0,0.0,0.11,0.22,0.0,20.16,6.13,6.43,0.11,0.38,0.33,0.05,2.26,0.44,3.95,0.0,0.08,1,3671,39.41,51.42,67.19,44.2,15.56,15.58,89.65,60.17,18.58,10.79,5.75,1.53,1.58,1.33,0.6,7.79,6.67,13.81,11.17,5.99,6.84,2.62,20.48,2.81,1.5,1.66,1.14,2.45,3.98,2.48,1.47,0.3,0.35,0.16,9.4,0.03,0.05,0.0,1.55,13.81,3.35,1.93,1.61,2.94,1.69,3.79,2.34,0.9,1.04,0.35,0.38,0.14,0.11,0.03,0.11,8.72,2.07,1.53,3.7,1.8,0.68,3.43,13.92,2.4,13.73,2.62,7.95,3.92,3.11,0.14,0.22,0.49,0.05,0.08,0.38,0.0,0.0,0.11,0.22,0.0,20.16,6.13,6.43,0.11,0.38,0.33,0.05,2.26,0.44,3.95,0.0,0.08
