"","Player","Year","Pos","TS.","AST.","FG.","FT.","X3P.","X2P.","ORB","DRB","AST","STL","BLK","TOV","PF","PTS","Player_year","randomPart_euclidean_12"
"3960","Sebastian Telfair",2008,"PG",0.462,27.7,0.401,0.743,0.281,0.432,0.3,2.2,6.6,1.1,0.2,2.1,3.2,10.4,"Sebastian Telfair-2008",5
"3961","Jason Terry",2008,"SG",0.574,17.5,0.467,0.857,0.375,0.519,0.4,2.5,3.7,1.2,0.3,1.3,2.4,17.7,"Jason Terry-2008",11
"3964","Kurt Thomas",2008,"C",0.514,6.5,0.492,0.663,0,0.494,3,8.6,1.5,1.3,1.3,1,4.3,10.1,"Kurt Thomas-2008",8
"3965","Tim Thomas",2008,"PF",0.505,15.7,0.413,0.752,0.306,0.479,1.2,4.8,3.2,0.7,0.5,1.8,3.6,14.5,"Tim Thomas-2008",3
"3966","Tyrus Thomas",2008,"PF",0.486,11,0.423,0.741,0.167,0.426,2.8,6.5,2.4,1.3,1.9,2.1,4.6,13.6,"Tyrus Thomas-2008",8
"3967","Al Thornton",2008,"PF",0.504,8.4,0.429,0.743,0.331,0.447,1.6,4.3,1.6,0.8,0.7,2.1,3.3,16.8,"Al Thornton-2008",9
"3968","Jamaal Tinsley",2008,"PG",0.458,38.8,0.38,0.72,0.284,0.422,0.7,3.3,9.1,1.8,0.3,3.6,2.7,12.9,"Jamaal Tinsley-2008",5
"3970","Ronny Turiaf",2008,"C",0.539,12.7,0.474,0.753,0,0.475,2.3,5.2,3.2,0.7,2.7,1.8,4.9,12.7,"Ronny Turiaf-2008",8
"3971","Hedo Turkoglu",2008,"SF",0.576,22.9,0.456,0.829,0.4,0.485,1,4.6,4.9,0.9,0.3,2.9,2.9,19.1,"Hedo Turkoglu-2008",4
"3972","Ime Udoka",2008,"PF",0.528,7.7,0.424,0.759,0.37,0.467,1,5.3,1.7,1.5,0.5,1.6,3.5,11.6,"Ime Udoka-2008",6
"3973","Beno Udrih",2008,"PG",0.54,22.2,0.463,0.85,0.387,0.482,0.6,3.2,4.9,1,0.2,2.6,2.4,14.4,"Beno Udrih-2008",2
"3974","Anderson Varejao",2008,"C",0.485,6.3,0.461,0.598,0,0.464,3.7,7.2,1.4,1,0.7,1.6,3.7,8.8,"Anderson Varejao-2008",8
"3975","Jacque Vaughn",2008,"PG",0.481,21.9,0.428,0.763,0.3,0.432,0.4,1.9,5,0.7,0,1.7,3.1,9.7,"Jacque Vaughn-2008",2
"3976","Charlie Villanueva",2008,"PF",0.502,7.5,0.435,0.783,0.297,0.475,2.9,6.3,1.5,0.6,0.7,2.1,3.4,17.4,"Charlie Villanueva-2008",9
"3979","Sasha Vujacic",2008,"SG",0.605,8.7,0.454,0.835,0.437,0.476,0.5,3.8,2,1,0.1,1.5,3,17.8,"Sasha Vujacic-2008",11
"3980","Dwyane Wade",2008,"SG",0.549,37.5,0.469,0.758,0.286,0.485,0.8,3.1,6.5,1.6,0.7,4.1,2.5,23.1,"Dwyane Wade-2008",10
"3981","Von Wafer",2008,"SG",0.347,6.6,0.279,0.667,0.154,0.371,0.2,4.2,1.6,0.5,0.7,3,1.6,10.8,"Von Wafer-2008",1
"3982","Antoine Walker",2008,"PF",0.455,8,0.363,0.53,0.324,0.401,2.3,4.5,1.8,1.3,0.3,1.9,3.2,14.9,"Antoine Walker-2008",1
"3983","Ben Wallace",2008,"C",0.408,6.9,0.392,0.426,0,0.397,3.8,6,1.7,1.4,1.9,1.1,2,5.7,"Ben Wallace-2008",1
"3984","Gerald Wallace",2008,"PF",0.547,15.9,0.449,0.731,0.321,0.491,0.9,4.8,3.3,2,0.9,2.7,2.9,18.2,"Gerald Wallace-2008",4
"3985","Rasheed Wallace",2008,"C",0.523,9.7,0.432,0.767,0.356,0.476,1.3,6.6,2.1,1.4,2,1.3,3.3,15,"Rasheed Wallace-2008",9
"3986","Luke Walton",2008,"SF",0.509,18.1,0.45,0.706,0.333,0.475,1.8,4.3,4.5,1.2,0.4,2.1,2.8,11.1,"Luke Walton-2008",6
"3987","Hakim Warrick",2008,"PF",0.555,5.2,0.502,0.704,0.271,0.521,2.5,4.8,1.1,0.7,0.6,1.7,3.2,17.5,"Hakim Warrick-2008",9
"3990","C.J. Watson",2008,"PG",0.519,12.8,0.426,0.793,0.346,0.453,1.3,1.9,3.4,1.5,0,1.8,1.9,11.5,"C.J. Watson-2008",2
"3991","Earl Watson",2008,"PG",0.517,36.6,0.454,0.766,0.371,0.472,0.7,2.9,8.4,1.1,0.2,2.8,2.5,13.3,"Earl Watson-2008",10
"3993","Martell Webster",2008,"SF",0.548,7,0.422,0.735,0.388,0.454,0.9,4.1,1.5,0.7,0.5,1.4,2.7,13.5,"Martell Webster-2008",11
"3994","Bonzi Wells",2008,"SG",0.495,10.2,0.443,0.643,0.24,0.462,1.9,5.7,2.2,1.7,0.7,2.4,3.6,15.3,"Bonzi Wells-2008",6
"3995","David West",2008,"PF",0.535,10.6,0.482,0.85,0.24,0.487,2.3,6.2,2.2,0.8,1.2,2.1,2.6,19.6,"David West-2008",12
"3996","Delonte West",2008,"PG",0.492,23.5,0.413,0.736,0.356,0.435,0.7,3.8,5.4,1.4,0.7,2.7,2.4,11.9,"Delonte West-2008",2
"3997","Mario West",2008,"SG",0.488,7.2,0.429,0.654,0,0.467,3.5,2.9,1.7,1.6,0.5,1.2,8.2,7.9,"Mario West-2008",8
"3998","Chris Wilcox",2008,"PF",0.554,7.1,0.524,0.645,0,0.526,2.6,6.4,1.5,1,0.7,2.1,3.6,17.1,"Chris Wilcox-2008",12
"3999","Damien Wilkins",2008,"SF",0.474,12.7,0.403,0.736,0.323,0.427,1.4,3.4,2.9,1.2,0.4,1.7,2.5,13.6,"Damien Wilkins-2008",3
"4002","Deron Williams",2008,"PG",0.595,43.6,0.507,0.803,0.395,0.533,0.4,2.5,10.1,1.1,0.3,3.3,2.4,18.2,"Deron Williams-2008",10
"4003","Jason Williams",2008,"PG",0.502,27.3,0.384,0.863,0.353,0.415,0.2,2.3,5.9,1.6,0.1,1.7,1.8,11.2,"Jason Williams-2008",2
"4005","Lou Williams",2008,"PG",0.523,22.6,0.424,0.783,0.359,0.441,0.8,2.4,4.9,1.6,0.3,2.4,2.5,17.8,"Lou Williams-2008",2
"4006","Marcus Williams",2008,"PG",0.499,27.8,0.379,0.787,0.38,0.377,0.6,3.7,5.9,1.1,0.1,3.2,2.2,13.2,"Marcus Williams-2008",2
"4008","Marvin Williams",2008,"SF",0.54,8.3,0.462,0.822,0.1,0.466,1.5,4.4,1.8,1.1,0.4,1.7,2.9,15.4,"Marvin Williams-2008",11
"4009","Mo Williams",2008,"PG",0.566,30,0.48,0.856,0.385,0.512,0.6,2.9,6.3,1.2,0.1,2.7,2.8,17,"Mo Williams-2008",10
"4011","Shawne Williams",2008,"SF",0.522,9.8,0.427,0.717,0.314,0.494,2,4.5,2.2,1,1,2.2,4.9,16.3,"Shawne Williams-2008",9
"4012","Shelden Williams",2008,"PF",0.494,3.8,0.434,0.676,0,0.438,3.2,6.4,0.9,1,1,1.6,5.1,11.8,"Shelden Williams-2008",8
"4014","Metta World Peace",2008,"SF",0.535,16.2,0.453,0.719,0.38,0.475,1.7,3.8,3.3,2.2,0.6,2.5,2.6,19.4,"Metta World Peace-2008",4
"4015","Antoine Wright",2008,"SG",0.488,10.5,0.413,0.687,0.291,0.475,1.2,3.1,2.3,0.8,0.6,1.5,3.7,10.2,"Antoine Wright-2008",3
"4017","Dorell Wright",2008,"SF",0.537,9.4,0.488,0.826,0.364,0.493,1.6,5.6,2,0.9,1.3,0.9,2.6,11.3,"Dorell Wright-2008",11
"4018","Julian Wright",2008,"SF",0.581,9.5,0.533,0.635,0.417,0.552,1.9,4.7,2.3,1.6,0.7,1.9,2.4,12.5,"Julian Wright-2008",6
"4020","Nick Young",2008,"SG",0.527,9.6,0.439,0.815,0.4,0.45,0.7,2.9,2,1.1,0.2,2.9,4,17.4,"Nick Young-2008",4
"4021","Thaddeus Young",2008,"PF",0.57,6.2,0.539,0.738,0.316,0.548,2.8,4.4,1.3,1.7,0.2,1.5,2.9,14.1,"Thaddeus Young-2008",6
"4022","Alex Acker",2009,"SG",0.448,10.2,0.395,0.5,0.35,0.411,1.4,2.9,2.2,0.9,0.7,1.3,1.6,13,"Alex Acker-2009",3
"4024","Arron Afflalo",2009,"SG",0.548,5.5,0.437,0.817,0.402,0.456,0.9,3,1.3,0.8,0.4,1.3,4.2,10.6,"Arron Afflalo-2009",11
"4025","Maurice Ager",2009,"SG",0.365,5.3,0.349,0.5,0,0.405,1.1,2.6,1.1,0.4,0.7,1.5,6.3,12.6,"Maurice Ager-2009",1
"4027","Alexis Ajinca",2009,"PF",0.43,2.8,0.362,0.714,0,0.373,1.8,4.2,0.6,1.4,1.2,2.4,6.7,13.8,"Alexis Ajinca-2009",1
"4028","LaMarcus Aldridge",2009,"PF",0.529,9.3,0.484,0.781,0.25,0.489,2.8,4.4,1.9,0.9,0.9,1.5,2.5,17.6,"LaMarcus Aldridge-2009",12
"4029","Joe Alexander",2009,"SF",0.494,9.5,0.416,0.699,0.348,0.432,2.2,3.6,2.1,0.8,1.5,2.6,5.4,14,"Joe Alexander-2009",9
"4030","Malik Allen",2009,"PF",0.435,9.5,0.429,0.476,0,0.432,2.2,4.2,2.2,0.4,0.7,1.2,5.5,9.7,"Malik Allen-2009",8
"4031","Ray Allen",2009,"SG",0.624,12.6,0.48,0.952,0.409,0.542,0.8,2.7,2.7,0.9,0.2,1.7,2,17.9,"Ray Allen-2009",11
"4032","Tony Allen",2009,"SG",0.541,12,0.482,0.725,0.222,0.51,0.9,3.3,2.7,2.2,0.9,3.1,4,14.6,"Tony Allen-2009",6
"4033","Morris Almond",2009,"SG",0.498,4.2,0.407,0.808,0.294,0.438,1.3,3.8,1,0.6,0.6,2.3,4.4,13,"Morris Almond-2009",3
"4034","Rafer Alston",2009,"PG",0.494,27,0.385,0.75,0.338,0.417,0.5,2.9,6,1.6,0.1,2.1,2,13.2,"Rafer Alston-2009",2
"4035","Lou Amundson",2009,"PF",0.53,3.7,0.536,0.442,0,0.538,4.4,4.9,1,1.1,2.2,1.9,5.3,11.1,"Lou Amundson-2009",7
"4036","Chris Andersen",2009,"C",0.608,3.2,0.548,0.718,0.2,0.56,4,6.9,0.8,1,4.3,1.7,4.3,11.1,"Chris Andersen-2009",7
"4037","Ryan Anderson",2009,"PF",0.532,6.4,0.393,0.845,0.365,0.417,2.9,5.7,1.4,1.2,0.5,1.7,4.3,13.4,"Ryan Anderson-2009",9
"4038","Carmelo Anthony",2009,"SF",0.532,18.1,0.443,0.793,0.371,0.455,1.7,5.4,3.5,1.2,0.4,3.1,3.1,23.8,"Carmelo Anthony-2009",4
"4041","Trevor Ariza",2009,"SF",0.544,10.4,0.46,0.71,0.319,0.526,2,4.3,2.6,2.5,0.4,1.6,3,13.1,"Trevor Ariza-2009",6
"4042","Hilton Armstrong",2009,"C",0.585,4.4,0.561,0.633,0,0.566,2.7,3.8,1,0.9,1.5,2.6,6,11.1,"Hilton Armstrong-2009",7
"4043","Darrell Arthur",2009,"PF",0.456,5,0.438,0.667,0,0.44,2.7,5.9,1.1,1.3,1.3,1.2,5.1,10.4,"Darrell Arthur-2009",8
"4044","Chucky Atkins",2009,"PG",0.408,20.9,0.301,0.938,0.263,0.339,0.4,1.7,5.2,0.9,0.2,2,2.4,8.6,"Chucky Atkins-2009",5
"4045","D.J. Augustin",2009,"PG",0.587,22.6,0.43,0.893,0.439,0.424,0.3,2.2,4.7,0.8,0,2.2,2.6,16,"D.J. Augustin-2009",2
"4046","Kelenna Azubuike",2009,"SF",0.562,7.6,0.464,0.808,0.448,0.469,1.7,3.9,1.8,0.9,0.8,1.4,2.8,16.1,"Kelenna Azubuike-2009",11
"4047","Renaldo Balkman",2009,"PF",0.585,6.9,0.558,0.646,0.286,0.568,4,5.4,1.6,2.2,1.1,1.6,4.5,12.2,"Renaldo Balkman-2009",7
"4048","Marcus Banks",2009,"PG",0.431,20.6,0.368,0.611,0.158,0.474,0.2,3,4.9,1.9,0.3,2.4,4.5,9.8,"Marcus Banks-2009",5
"4049","Leandro Barbosa",2009,"SG",0.588,14.9,0.482,0.881,0.375,0.532,0.7,3.1,3.4,1.7,0.1,2,2.4,21,"Leandro Barbosa-2009",4
"4050","J.J. Barea",2009,"SG",0.516,26.4,0.442,0.753,0.357,0.474,0.8,3.2,6.1,0.8,0.1,2.4,2.7,13.9,"J.J. Barea-2009",2
"4051","Andrea Bargnani",2009,"PF",0.559,6.4,0.45,0.831,0.409,0.468,1,5.1,1.4,0.5,1.4,2,3.6,17.6,"Andrea Bargnani-2009",9
"4052","Matt Barnes",2009,"PF",0.537,14.2,0.423,0.743,0.343,0.505,1.4,5.9,3.7,0.9,0.4,2.2,3.6,13.6,"Matt Barnes-2009",9
"4053","Brent Barry",2009,"SG",0.575,13.7,0.407,0.95,0.374,0.512,0.7,3.2,3.3,1,0.1,2,1.9,8.7,"Brent Barry-2009",11
"4054","Brandon Bass",2009,"C",0.571,4.3,0.496,0.867,0,0.502,3,5.4,1,0.6,1.3,2,3.2,15.7,"Brandon Bass-2009",12
"4055","Maceo Baston",2009,"PF",0.579,4.6,0.543,0.63,0,0.556,3.6,5,1.2,1,1.7,2,6.5,11.1,"Maceo Baston-2009",7
"4056","Tony Battie",2009,"PF",0.518,4.2,0.489,0.659,0.222,0.497,2.8,5.6,0.9,0.8,0.7,1.4,3.4,11.1,"Tony Battie-2009",9
"4057","Shane Battier",2009,"SG",0.568,10,0.41,0.821,0.384,0.462,0.9,4.1,2.4,0.9,1,0.9,2,7.7,"Shane Battier-2009",11
"4058","Nicolas Batum",2009,"SF",0.555,7.8,0.446,0.808,0.369,0.513,2.1,3.4,1.8,1.2,1,1.2,3.4,10.5,"Nicolas Batum-2009",11
"4059","Jerryd Bayless",2009,"PG",0.487,18.2,0.365,0.806,0.259,0.383,0.4,2.7,4.3,0.9,0.1,3.1,4.5,12.5,"Jerryd Bayless-2009",5
"4060","Michael Beasley",2009,"PF",0.528,7.7,0.472,0.772,0.407,0.478,2,5.9,1.5,0.7,0.7,2.2,3.3,20.1,"Michael Beasley-2009",9
"4061","Marco Belinelli",2009,"SG",0.547,15.3,0.442,0.769,0.397,0.473,0.4,2.5,3.6,1.5,0,2.4,3,15.2,"Marco Belinelli-2009",2
"4062","Charlie Bell",2009,"SG",0.525,13.3,0.414,0.825,0.363,0.458,0.6,2.1,3,1,0.1,1.5,2.8,11.9,"Charlie Bell-2009",11
"4063","Raja Bell",2009,"SG",0.548,10.1,0.437,0.853,0.421,0.448,0.6,3.1,2.2,0.8,0.1,1.3,2.6,12.4,"Raja Bell-2009",11
"4064","Mike Bibby",2009,"PG",0.544,24.2,0.435,0.789,0.39,0.468,0.5,3.2,5.2,1.3,0.1,1.7,1.9,15.5,"Mike Bibby-2009",2
"4065","Andris Biedrins",2009,"C",0.585,10,0.578,0.551,0,0.579,4.3,9.1,2.3,1.2,1.9,2.1,4.6,14.2,"Andris Biedrins-2009",7
"4066","Chauncey Billups",2009,"PG",0.592,28.9,0.418,0.913,0.408,0.425,0.4,2.7,6.5,1.2,0.2,2.3,2.1,18.1,"Chauncey Billups-2009",2
"4067","Steve Blake",2009,"PG",0.557,25.1,0.428,0.84,0.427,0.429,0.5,2.4,5.7,1.1,0.1,1.8,2.1,12.5,"Steve Blake-2009",2
"4068","Andray Blatche",2009,"C",0.508,11.8,0.471,0.704,0.238,0.479,2.7,5.3,2.5,1.1,1.6,2.5,4.5,15.1,"Andray Blatche-2009",9
"4069","Mark Blount",2009,"C",0.472,3.1,0.385,0.615,0.407,0.373,1.7,5.4,0.7,0.2,1.2,2.4,3,13.7,"Mark Blount-2009",9
"4070","Keith Bogans",2009,"SG",0.521,7.7,0.367,0.912,0.339,0.425,0.9,4.8,1.8,1.2,0.1,1.2,3,10.3,"Keith Bogans-2009",3
"4072","Matt Bonner",2009,"PF",0.611,6.8,0.496,0.739,0.44,0.552,1.8,5.4,1.5,0.9,0.5,0.7,3.5,12.5,"Matt Bonner-2009",11
"4076","Chris Bosh",2009,"C",0.569,11.6,0.487,0.817,0.245,0.497,2.6,6.8,2.3,0.8,0.9,2.1,2.3,21.5,"Chris Bosh-2009",12
"4077","Bruce Bowen",2009,"SF",0.539,3.7,0.422,0.538,0.429,0.416,0.4,3.1,1,0.9,0.3,0.6,2.9,5.1,"Bruce Bowen-2009",3
"4081","Ronnie Brewer",2009,"SF",0.565,10.9,0.508,0.702,0.259,0.537,1.4,2.8,2.5,1.9,0.4,1.5,1.8,15.4,"Ronnie Brewer-2009",6
"4082","Aaron Brooks",2009,"PG",0.521,20.2,0.404,0.866,0.366,0.428,0.6,2.2,4.3,0.8,0.1,2.3,2.7,16.1,"Aaron Brooks-2009",2
"4084","Bobby Brown",2009,"SG",0.476,20.9,0.392,0.791,0.346,0.417,0.5,1.5,4.5,0.8,0.1,2.4,3.7,14,"Bobby Brown-2009",2
"4086","Devin Brown",2009,"SG",0.459,10.2,0.355,0.78,0.289,0.384,1.3,3.6,2.2,1.3,0.2,2.2,3.4,13.6,"Devin Brown-2009",3
"4088","Shannon Brown",2009,"SG",0.554,13.7,0.473,0.821,0.378,0.5,0.8,2.5,2.9,1.7,0.5,2.9,3.2,15.2,"Shannon Brown-2009",4
"4089","Kobe Bryant",2009,"SG",0.561,23.8,0.467,0.856,0.351,0.496,1.1,4.1,4.9,1.5,0.5,2.6,2.3,26.8,"Kobe Bryant-2009",4
"4090","Greg Buckner",2009,"SF",0.456,9.9,0.384,0.8,0.255,0.444,1.3,4,2.3,1.2,0.3,1.6,4.4,6.4,"Greg Buckner-2009",3
"4091","Caron Butler",2009,"SG",0.552,19.7,0.453,0.858,0.31,0.487,1.6,4.1,4,1.5,0.3,2.9,2.3,19.4,"Caron Butler-2009",4
"4092","Rasual Butler",2009,"SF",0.541,4.8,0.433,0.782,0.39,0.468,0.7,3.1,1,0.7,0.8,0.8,2.2,12.7,"Rasual Butler-2009",11
"4094","Will Bynum",2009,"PG",0.52,35.3,0.456,0.798,0.158,0.474,0.9,2.5,7,1.5,0.1,3.4,3.8,18.4,"Will Bynum-2009",10
"4095","Jose Calderon",2009,"PG",0.613,41,0.497,0.981,0.406,0.538,0.2,2.7,9.4,1.1,0.1,2.2,1.8,13.5,"Jose Calderon-2009",10
"4096","Marcus Camby",2009,"C",0.556,10.8,0.512,0.725,0.25,0.514,3,9.9,2.4,1,2.5,1.7,2.4,12,"Marcus Camby-2009",12
"4097","Brian Cardinal",2009,"PF",0.515,12.3,0.385,0.857,0.326,0.455,1.5,4.1,3,1.5,0.5,1.9,5.3,7.5,"Brian Cardinal-2009",3
"4098","Rodney Carney",2009,"SG",0.532,3.6,0.416,0.758,0.35,0.492,1.1,2.7,0.8,1.4,0.9,1.3,2.8,14.4,"Rodney Carney-2009",11
"4099","Matt Carroll",2009,"SG",0.451,7.2,0.38,0.84,0.245,0.441,0.4,3.6,1.6,1.2,0.4,1.9,3.9,9.6,"Matt Carroll-2009",3
"4100","Anthony Carter",2009,"PG",0.49,29.9,0.433,0.731,0.239,0.49,0.8,3.3,7.3,1.9,0.3,3.1,2.9,8.3,"Anthony Carter-2009",5
"4101","Vince Carter",2009,"SG",0.545,23.7,0.437,0.817,0.385,0.459,0.9,4.1,4.6,1,0.5,2,2.9,20.3,"Vince Carter-2009",4
"4102","Mario Chalmers",2009,"PG",0.548,23.5,0.42,0.767,0.367,0.467,0.5,2.6,5.5,2.2,0.1,2.3,3.3,11.2,"Mario Chalmers-2009",2
"4104","Wilson Chandler",2009,"SF",0.515,9.9,0.432,0.795,0.328,0.476,1.2,4.7,2.2,0.9,1,1.8,3.3,15.6,"Wilson Chandler-2009",11
"4108","Mardy Collins",2009,"PG",0.47,19.8,0.425,0.609,0.419,0.426,1.3,3.1,4.5,1.3,0.4,2.3,3.2,10.2,"Mardy Collins-2009",5
"4109","Nick Collison",2009,"C",0.599,5.8,0.568,0.721,0,0.57,3.6,6.1,1.3,1,1,1.4,4.7,11.5,"Nick Collison-2009",7
"4110","Mike Conley",2009,"PG",0.548,23.7,0.442,0.817,0.406,0.458,0.4,3.6,5.1,1.3,0.1,2.1,2.1,12.8,"Mike Conley-2009",2
"4111","Brian Cook",2009,"PF",0.47,5.1,0.368,0.833,0.433,0.326,1.5,5.3,1.1,0.6,0.6,2.7,5.5,15.6,"Brian Cook-2009",3
"4112","Daequan Cook",2009,"SF",0.512,6.2,0.375,0.875,0.387,0.356,0.4,3.3,1.4,0.8,0.2,0.8,2.5,13.5,"Daequan Cook-2009",3
"4113","Jamal Crawford",2009,"PG",0.545,18.1,0.41,0.872,0.36,0.441,0.3,2.5,4.2,0.8,0.2,2.1,1.3,18.6,"Jamal Crawford-2009",2
"4115","Javaris Crittenton",2009,"PG",0.487,19.8,0.46,0.576,0.133,0.478,1.7,3.3,4.6,1.2,0.2,2.5,3.1,9.7,"Javaris Crittenton-2009",6
"4118","Samuel Dalembert",2009,"C",0.535,1.4,0.498,0.734,0,0.5,3.8,8.6,0.3,0.6,2.6,2.1,4.4,9.2,"Samuel Dalembert-2009",7
"4120","Antonio Daniels",2009,"PG",0.536,26.9,0.419,0.8,0.367,0.438,0.2,2.5,6.2,0.9,0,2.2,1.9,10.6,"Antonio Daniels-2009",2
"4121","Marquis Daniels",2009,"SF",0.491,10.7,0.451,0.721,0.2,0.489,1.7,3.6,2.4,1.3,0.6,2,2.5,15.5,"Marquis Daniels-2009",6
"4123","Baron Davis",2009,"PG",0.46,38.1,0.37,0.757,0.302,0.406,0.7,3.1,8,1.7,0.6,3.1,3.1,15.5,"Baron Davis-2009",5
"4124","Glen Davis",2009,"C",0.502,6.5,0.442,0.73,0.4,0.443,2.7,4,1.5,1.2,0.4,1.6,5.1,11.7,"Glen Davis-2009",9
"4125","Paul Davis",2009,"PF",0.474,6.1,0.408,0.794,0,0.412,3.2,4.4,1.4,1.1,0.3,1.5,5,12,"Paul Davis-2009",8
"4126","Ricky Davis",2009,"SG",0.445,16.4,0.339,0.861,0.315,0.358,0.4,2.3,3.8,0.9,0.2,1.8,2.9,10.6,"Ricky Davis-2009",3
"4127","Luol Deng",2009,"SF",0.511,9,0.448,0.796,0.4,0.45,1.7,4.6,2,1.3,0.5,1.6,1.8,14.9,"Luol Deng-2009",11
"4128","Boris Diaw",2009,"PF",0.565,21.2,0.507,0.687,0.414,0.531,1.5,4.1,4.4,0.8,0.7,2.8,2.6,14,"Boris Diaw-2009",4
"4129","Yakhouba Diawara",2009,"SF",0.473,4.7,0.35,0.526,0.313,0.463,1.1,2.4,1.1,0.5,0.3,0.7,3.2,9,"Yakhouba Diawara-2009",3
"4130","Travis Diener",2009,"PG",0.555,23.9,0.413,0.8,0.39,0.459,0.3,4,6.1,1.3,0.3,1.1,2.1,10.3,"Travis Diener-2009",2
"4131","Ike Diogu",2009,"PF",0.611,2.7,0.527,0.755,0.5,0.528,4.4,5,0.5,0.5,0.5,2,3.9,19.9,"Ike Diogu-2009",9
"4133","Juan Dixon",2009,"PG",0.478,22.7,0.395,0.872,0.333,0.42,0.4,2.6,5.2,1.5,0.3,3.1,3.3,11.5,"Juan Dixon-2009",5
"4134","Keyon Dooling",2009,"PG",0.562,21.3,0.436,0.825,0.421,0.446,0.4,2.3,4.7,1.2,0.1,1.8,2.3,13,"Keyon Dooling-2009",2
"4136","Quincy Douby",2009,"PG",0.486,13.6,0.382,0.895,0.304,0.438,0.7,3.1,3,0.6,0.6,1.6,3.2,13.8,"Quincy Douby-2009",3
"4137","Chris Douglas-Roberts",2009,"SG",0.531,14.8,0.46,0.823,0.25,0.476,0.9,2.2,3.2,0.7,0.4,1.9,2.1,13.3,"Chris Douglas-Roberts-2009",11
"4138","Goran Dragic",2009,"PG",0.487,20.8,0.393,0.769,0.37,0.4,1.6,3.5,5.5,1.4,0.1,3.6,4.3,12.2,"Goran Dragic-2009",5
"4139","Jared Dudley",2009,"SF",0.562,7.1,0.477,0.676,0.392,0.507,2.6,3.8,1.7,1.8,0.2,1.3,3.3,11.6,"Jared Dudley-2009",6
"4140","Chris Duhon",2009,"PG",0.569,27.9,0.421,0.856,0.391,0.449,0.6,2.5,7,0.9,0.1,2.7,1.6,10.9,"Chris Duhon-2009",2
"4141","Tim Duncan",2009,"C",0.549,19.3,0.504,0.692,0,0.505,2.9,8.5,3.8,0.5,1.8,2.4,2.5,20.7,"Tim Duncan-2009",12
"4143","Kevin Durant",2009,"SF",0.577,13.5,0.476,0.863,0.422,0.486,1,5.1,2.6,1.2,0.7,2.8,1.7,23.3,"Kevin Durant-2009",4
"4144","Monta Ellis",2009,"SG",0.503,17.5,0.451,0.83,0.308,0.46,0.6,3.8,3.8,1.6,0.3,2.7,2.7,19.1,"Monta Ellis-2009",4
"4145","Francisco Elson",2009,"C",0.537,4.8,0.491,0.846,0.25,0.497,3.7,4.8,1.2,1.3,1.3,1.8,5.3,7.4,"Francisco Elson-2009",8
"4147","Maurice Evans",2009,"SF",0.558,4.6,0.432,0.822,0.395,0.47,1.7,3,1.1,1,0.2,0.8,3.2,11.2,"Maurice Evans-2009",11
"4148","Reggie Evans",2009,"PF",0.514,3.3,0.444,0.594,0,0.446,4.3,7.2,0.8,1.3,0.3,2.2,5.1,8.3,"Reggie Evans-2009",8
"4149","Jordan Farmar",2009,"PG",0.466,18.6,0.391,0.584,0.336,0.421,0.7,2.9,4.7,1.7,0.3,2.6,3.2,12.6,"Jordan Farmar-2009",5
"4151","Raymond Felton",2009,"PG",0.483,31.1,0.408,0.805,0.285,0.437,0.6,3,6.5,1.5,0.3,2.7,2.2,13.6,"Raymond Felton-2009",2
"4152","Rudy Fernandez",2009,"SG",0.588,12.7,0.425,0.839,0.399,0.47,0.8,2.9,2.9,1.2,0.2,1.6,2,14.7,"Rudy Fernandez-2009",11
"4154","Michael Finley",2009,"SF",0.547,7.7,0.437,0.823,0.411,0.459,0.4,3.8,1.8,0.6,0.3,0.9,1.3,12.1,"Michael Finley-2009",11
"4155","Derek Fisher",2009,"PG",0.546,14.9,0.424,0.846,0.397,0.446,0.4,2.4,3.8,1.4,0.1,1.1,2.8,12,"Derek Fisher-2009",11
"4156","T.J. Ford",2009,"PG",0.533,27.6,0.452,0.872,0.337,0.467,0.9,3.2,6.2,1.4,0.3,2.9,2.9,17.6,"T.J. Ford-2009",10
"4157","Jeff Foster",2009,"C",0.542,9.9,0.501,0.658,0.286,0.506,4.2,5.8,2.6,1,1,1.7,4.5,8.9,"Jeff Foster-2009",8
"4158","Randy Foye",2009,"SG",0.517,20.5,0.407,0.846,0.36,0.428,0.5,2.6,4.4,1,0.4,2.2,2.9,16.4,"Randy Foye-2009",2
"4160","Channing Frye",2009,"PF",0.465,5.3,0.423,0.722,0.333,0.436,2,4.8,1.2,0.8,0.8,1.4,5.1,12.7,"Channing Frye-2009",9
"4161","Dan Gadzuric",2009,"C",0.495,6.5,0.48,0.544,0,0.483,3.6,6.1,1.5,1.2,1.6,1.6,6.2,10.4,"Dan Gadzuric-2009",8
"4162","Danilo Gallinari",2009,"SG",0.621,5.5,0.448,0.963,0.444,0.453,1.1,3.7,1.3,1.2,0.3,1.3,4.2,14.9,"Danilo Gallinari-2009",11
"4163","Francisco Garcia",2009,"SF",0.554,12.6,0.444,0.82,0.398,0.466,1,3,2.7,1.5,1.2,2,3.6,15,"Francisco Garcia-2009",6
"4165","Kevin Garnett",2009,"PF",0.563,14.7,0.531,0.841,0.25,0.534,1.6,8.3,2.9,1.3,1.4,1.8,2.6,18.3,"Kevin Garnett-2009",12
