"","Player","Year","Pos","TS.","AST.","FG.","FT.","X3P.","X2P.","ORB","DRB","AST","STL","BLK","TOV","PF","PTS","Player_year","randomPart_euclidean_12"
"60","Rodney Buford",2000,"SG",0.457,9.2,0.411,0.727,0.241,0.451,0.9,3.5,2,0.9,0.7,0.8,4.1,13.7,"Rodney Buford-2000",3
"61","Matt Bullard",2000,"PF",0.541,9.9,0.409,0.833,0.446,0.368,0.5,4.4,2.2,0.7,0.5,1.3,3,13.4,"Matt Bullard-2000",3
"62","Scott Burrell",2000,"SF",0.511,8.6,0.394,0.78,0.353,0.444,1.8,5.1,1.9,1.8,1.2,1,4.7,12.2,"Scott Burrell-2000",6
"63","Jason Caffey",2000,"PF",0.515,9.1,0.479,0.597,0,0.48,3.2,4.9,2,1,0.3,2.8,4.5,14.2,"Jason Caffey-2000",8
"65","Marcus Camby",2000,"C",0.529,5.4,0.48,0.67,0.5,0.48,4,6.7,1.1,1,2.7,1.7,4.7,14,"Marcus Camby-2000",9
"66","Elden Campbell",2000,"C",0.5,8.5,0.446,0.69,0,0.45,2.4,6,1.8,0.8,2.1,1.8,3.8,14,"Elden Campbell-2000",8
"68","Chris Carr",2000,"SF",0.482,15,0.395,0.856,0.317,0.415,1.3,4.1,2.6,0.9,0.5,3.6,3.5,16.4,"Chris Carr-2000",4
"69","Anthony Carter",2000,"PG",0.442,31.7,0.395,0.75,0.13,0.407,0.9,2.9,7.3,1.8,0.1,3.4,3.2,9.6,"Anthony Carter-2000",5
"70","Vince Carter",2000,"SF",0.543,20.5,0.465,0.791,0.403,0.475,1.7,3.8,3.7,1.3,1.1,2,3,24.3,"Vince Carter-2000",4
"71","Sam Cassell",2000,"PG",0.551,41.1,0.466,0.876,0.289,0.481,0.9,2.9,9.1,1.3,0.1,3.3,3.2,18.7,"Sam Cassell-2000",10
"72","Kelvin Cato",2000,"C",0.574,2.7,0.537,0.649,0,0.543,2.3,6.5,0.6,0.8,2.8,1.6,4,12.9,"Kelvin Cato-2000",7
"74","Cedric Ceballos",2000,"SF",0.516,7.4,0.446,0.843,0.328,0.464,3,5.1,1.6,1,0.4,2.2,2.9,20,"Cedric Ceballos-2000",9
"76","Rex Chapman",2000,"SG",0.491,9.9,0.388,0.756,0.333,0.421,0.4,2.6,2.3,0.8,0,1.4,2.6,13.1,"Rex Chapman-2000",3
"77","Calbert Cheaney",2000,"SG",0.473,9,0.44,0.429,0.333,0.466,0.6,3.2,2.2,1.2,0.4,1.3,4.3,7.3,"Calbert Cheaney-2000",3
"78","Pete Chilcutt",2000,"PF",0.46,6.9,0.417,1,0.231,0.465,2.8,5.1,1.6,0.9,0.6,1.2,4.4,7.2,"Pete Chilcutt-2000",3
"79","Chris Childs",2000,"PG",0.491,26.4,0.409,0.797,0.356,0.431,0.4,2.8,6.1,0.8,0.1,2.3,5.2,8.1,"Chris Childs-2000",2
